,WidthMedian,WidthMean,WidthStd
Manatee cell stain,1.5091187443504623,2.184889352852041,1.8273520231748734
Manatee fiber stain,1.5283117128391521,2.3359653622047563,2.6448709292091257
Rhesus monkey,1.1063015954338358,1.24544818350025,0.8826667834293658
Mandrill cell stained,0.9683682974444903,1.0964531823019406,0.7001925054626901
Mandrill myelin stained,0.8586051369404109,1.0512860182972577,0.6355951558014188
Giant anteater,1.075937715739467,1.8356044177371318,2.5516170804695975
White-tailed deer,1.370950441908759,2.2300590364194135,2.6732805194184857
Tail-less Tenrec,1.7336169229013816,3.5270426439262903,3.3653882243780333
Goat,0.959015863042336,1.4263051714423107,1.6758474546767534
Llama,1.3935519766296323,2.064229908787172,2.1347503886021366
Mongoose lemur,1.0173524077339549,1.3835077034279981,1.1935122104193603
Chimpanzee,1.305895764131136,1.7115888263979298,1.7822899440213682
Night Monkey cell stained coronal,1.460221478957899,2.3612669079993722,2.315390602187071
Night Monkey fiber stained coronal,1.4704734529558547,1.940003034366526,1.7489399132528585
Squirrel Monkey,0.9002261231080146,1.2985755258410823,0.9612134313909513
Pig,1.1790169785372928,1.5503467908888109,1.7140855563078152
Zebu cell stained,1.340185878276095,2.413824079036574,3.44822684627572
Cat,0.91917934258828,1.2701353695122108,1.3600891281064587
Lion,1.5256558706029153,2.2587821831075137,3.6408623681968666
Polar bear,1.3095562248508217,1.9059786007311645,1.9583922384194543
Spotted hyena cell stained,1.2485815121633301,1.8195143830232938,2.3245551318103326
Spotted hyena fiber stained,1.1999965331669937,1.694666177317638,2.047193520569141
Weasel,0.8255595044631456,1.3078860954863967,1.6464982479832462
Yellow mongoose,1.202021921792784,1.7661076553009438,1.625189136200977
Indian flying fox,1.1925541457072406,1.5626285449436157,1.4085910043457621
Nine-banded armadillo,1.0798715300650763,1.5177931247700436,1.533410920083671
Philippine flying lemur,1.8545241018888041,2.233379813398099,2.2562447033949975
Rock hyrax,0.9068686162261553,2.1167309494318243,2.713770104845288
Zebra,1.7982526392551095,2.5677723536956223,3.2120885201484883
California sealion,1.1552989809352308,1.545039190253618,1.4403785591661338
Harbor seal,0.9396356268888275,1.3783996644863925,1.830438151224798
American beaver,1.3134568650278253,3.164765953721612,4.011328655426211
Guineapig,0.5509668192061489,1.2554737932154594,1.9166324048807803
Eastern mole,0.5209006119531375,0.935439120568919,1.0898374717568118
Common shrew cell staining,0.18451752177201583,0.7837327740659049,1.2621490283870873
Common shrew fiber staining,0.6374715987998303,1.228255719616843,1.8728464472807052
Collared peccary,1.6142266305777064,1.7892888223632428,1.08140226778385
Human 20um BigBrain,1.3679972017679976,1.5189992225774194,0.8672347859662772
Rhesus macaque rm316 Nissl,1.2655843442998325,1.590550326754157,1.2684840962897774
Sheep,1.628484291098116,2.56059521436976,3.818357156233012
Potto,0.7521604216026432,1.3120003212211322,1.3347061477237647
Mantled howler,1.4995324001448653,2.159078420985728,2.172346137234441
Pig-tailed macaque,1.0590829647513473,1.3371980643244306,1.1284040000413276
Northern Plains Gray langur,1.053894023512156,1.3700862485287228,1.3486037402216133
European rabbit,0.9500244156048111,1.4192020814095703,1.1274864982393
Treeshrew,0.9473585460372548,1.4215396397120792,1.7503739962693587
Two-toed Sloth,1.5147439092514887,2.001680106352154,2.643067174309441
Collared anteater,0.9788219513095129,1.4785576376133185,1.281090899252836
Elephant shrew,1.4883116870228927,1.5466158753369876,1.185577554193859
Gray kangaroo,0.9491608240260917,1.418384293192036,2.167850219003044
Mountain beaver,0.89985946719266,1.270408206958887,1.2746451573811644
Northern Pocket gopher,0.6821718182498517,0.79814418787295,0.6715826283412897
North American Porcupine Cell stain,1.1637205072501158,1.5137938015747636,1.3264933388686417
North American Porcupine Fiber stain,0.9590768976869657,1.3560199800795336,1.306171797665888
Long-tailed chinchilla Cell,0.9681267691476445,1.0671167828400814,0.722451608307393
Long-tailed chinchilla Fiber,0.7688104320722278,1.0171175797636471,0.7775659838272263
Dog,1.3353763697986056,1.6669855448876603,1.299008579875963
Greater Grison Cell stain,1.2791152296380774,1.3605201387489319,0.8012037949623666
Greater Grison Fiber stain,1.343489457560062,1.4748519981652235,0.8667361006539656
American mink Cell stain,0.6850112849020178,0.9177647886527347,0.957118792826003
American mink Fiber stain,0.6465383634426436,0.9377651216036841,0.8827160177041468
American badger Cell stain,1.318199310118397,1.6531680566324565,1.627555143434056
American badge Fiber stain,0.9911165819449083,1.422017975854603,1.3171920993113948
Ringtail cat Cell stain,0.7348164729674125,0.9647030526406009,1.1757155256276615
Ringtail cat Fiber stain,0.8685319167609568,1.2349020055648554,1.2743601610281956
White-nosed Coati,0.7810566739999507,1.029821963647322,1.0095959127866485
Red panda,0.8653607121383938,1.343539544841002,1.858720060724683
West European hedgehog Cell,0.917566639380682,1.7984900343057337,2.166125688474152
West European hedgehog Fiber,1.0485266875418182,1.4471950370371536,1.1531100085020694
