"","Species","Brain","Medial","Cerebellum","Source","Binomial_name_timetree"
"1","Loxodonta africana",5145,85.23,946.36,"Maseko et al. 2012","Loxodonta_africana"
"2","Procolobus badius",78.7,2.69,8.43,"Smaers et al. 2011","Procolobus_badius"
"3","Nasalis larvatus",64.25,2.63,7.65,"Smaers et al. 2011","Nasalis_larvatus"
"4","Macaca mulatta",90.56,2.63,8.09,"MacLeod et al. 2003","Macaca_mulatta"
"5","Lophocebus albigena",112,4,11.7,"MacLeod et al. 2003","Lophocebus_albigena"
"6","Papio anubis",191,5.19,17.71,"Smaers et al. 2011","Papio_anubis"
"7","Papio cynocephalus",144.8,3.78,13.83,"MacLeod et al. 2003","Papio_cynocephalus"
"8","Mandrillus sphinx",155.9,3.51,16.23,"Maseko et al. 2012","Mandrillus_sphinx"
"9","Cercocebus torquatus",98.85,2.3,8.65,"MacLeod et al. 2003","Cercocebus_torquatus"
"10","Erythrocebus patas",89,2.7,7.9,"MacLeod et al. 2003","Erythrocebus_patas"
"11","Miopithecus talapoin",41.1,1.25,3.7,"Smaers et al. 2011","Miopithecus_talapoin"
"12","Cercopithecus ascanius",61.5,1.73,4.94,"Smaers et al. 2011","Cercopithecus_ascanius"
"13","Cercopithecus mitis",75,2,5.84,"Smaers et al. 2011","Cercopithecus_mitis"
"14","Hylobates lar",91.37,2.16,12.19,"MacLeod et al. 2003","Hylobates_lar"
"15","Pongo pygmaeus",372.31,4.77,45.01,"MacLeod et al. 2003","Pongo_pygmaeus"
"16","Gorilla gorilla",401.28,6.3,59.38,"MacLeod et al. 2003","Gorilla_gorilla"
"17","Pan paniscus",322.65,6.48,47.3,"MacLeod et al. 2003","Pan_paniscus"
"18","Pan troglodytes",350.93,5.09,46.28,"MacLeod et al. 2003","Pan_troglodytes"
"19","Homo sapiens",1265.11,11.75,139.16,"MacLeod et al. 2003","Homo_sapiens"
"20","Aotus trivirgatus",19.13,0.9,1.75,"MacLeod et al. 2003","Aotus_trivirgatus"
"21","Saimiri sciureus",22.02,0.9,2,"MacLeod et al. 2003","Saimiri_sciureus"
"22","Cebus albifrons",76.5,2.35,7.05,"MacLeod et al. 2003","Cebus_albifrons"
"23","Cebus apella",66.45,1.83,6.45,"MacLeod et al. 2003","Cebus_apella"
"24","Ateles geoffroyi",106.4,2.8,11.16,"Smaers et al. 2011","Ateles_geoffroyi"
"25","Ateles paniscus",90.7,3.03,10.37,"MacLeod et al. 2003","Ateles_paniscus"
"26","Alouatta seniculus",37.4,1.45,4.15,"MacLeod et al. 2003","Alouatta_seniculus"
"27","Pithecia pithecia",34,1.32,3.58,"Smaers et al. 2011","Pithecia_pithecia"
"28","Nycticebus coucang",13.35,0.73,1.42,"Maseko et al. 2012","Nycticebus_coucang"
"29","Eulemur mongoz",21.8,0.7,1.51,"Maseko et al. 2012","Eulemur_mongoz"
"30","Lama guanicoe",200.3,9.39,22.46,"Maseko et al. 2012","Lama_guanicoe"
"31","Sus scrofa",95.3,4.47,9.28,"Maseko et al. 2012","Sus_scrofa"
"32","Tursiops truncatus",1500,22.42,258.75,"Maseko et al. 2012","Tursiops_truncatus"
"33","Phocoena phocoena",494.5,5.81,70.46,"Maseko et al. 2012","Phocoena_phocoena"
"34","Odocoileus virginianus",160,10.96,18.75,"Maseko et al. 2012","Odocoileus_virginianus"
"35","Bos taurus indicus",520.5,16.26,33.71,"Maseko et al. 2012","Bos_indicus"
"36","Ursus maritimus",458.6,13.87,51.95,"Maseko et al. 2012","Ursus_maritimus"
"37","Phoca vitulina",275,3.93,24.01,"Maseko et al. 2012","Phoca_vitulina"
"38","Zalophus californianus",379.13,6.68,58.19,"Maseko et al. 2012","Zalophus_californianus"
"39","Ailurus fulgens",41.68,1.68,4.88,"Maseko et al. 2012","Ailurus_fulgens"
"40","Nasua narica",37,1.1,3.49,"Maseko et al. 2012","Nasua_narica"
"41","Bassariscus astutus",20.7,0.92,2,"Maseko et al. 2012","Bassariscus_astutus"
"42","Mustela putorius",8.3,0.54,1.12,"Maseko et al. 2012","Mustela_putorius"
"43","Mustela erminea",4,0.18,0.4,"Maseko et al. 2012","Mustela_erminea"
"44","Neovison vison",8.5,0.51,1.17,"Maseko et al. 2012","Neovison_vison"
"45","Galictis vittata",24.3,0.74,1.77,"Maseko et al. 2012","Galictis_vittata"
"46","Vulpes vulpes",43.5,1.61,4.59,"Maseko et al. 2012","Vulpes_vulpes"
"47","Panthera leo",258,9.87,26.54,"Maseko et al. 2012","Panthera_leo"
"48","Felis silvestris",36.9,1.88,4.19,"Maseko et al. 2012","Felis_silvestris"
"49","Crocuta crocuta",162.5,6.06,15.84,"Maseko et al. 2012","Crocuta_crocuta"
"50","Cynictis penicillata",14.48,0.73,1.34,"Maseko et al. 2012","Cynictis_penicillata"
